year,full_doy,first_doy
1881,112,"NA"
1882,97,"NA"
1883,107,"NA"
1884,109,"NA"
1885,113,"NA"
1886,108,"NA"
1887,109,"NA"
1888,107,"NA"
1889,109,"NA"
1890,98,"NA"
1891,99,"NA"
1892,115,"NA"
1893,109,"NA"
1894,98,"NA"
1895,NA,"NA"
1896,106,"NA"
1897,106,"NA"
1898,108,"NA"
1899,99,"NA"
1900,102,"NA"
1901,102,"NA"
1902,98,"NA"
1903,99,"NA"
1904,108,"NA"
1905,105,"NA"
1906,105,"NA"
1907,103,"NA"
1908,102,"NA"
1909,108,"NA"
1910,104,"NA"
1911,98,"NA"
1912,105,"NA"
1913,103,"NA"
1914,102,"NA"
1915,102,"NA"
1916,112,"NA"
1917,103,"NA"
1918,104,"NA"
1919,NA,"NA"
1920,104,"NA"
1921,NA,"NA"
1922,101,"NA"
1923,97,"NA"
1924,111,"NA"
1925,108,"NA"
1926,108,"NA"
1927,107,"NA"
1928,107,"NA"
1929,103,"NA"
1930,95,"NA"
1931,105,"NA"
1932,105,"NA"
1933,106,"NA"
1934,104,"NA"
1935,102,"NA"
1936,111,"NA"
1937,100,"NA"
1938,98,"NA"
1939,104,"NA"
1940,110,"NA"
1941,100,"NA"
1942,96,"NA"
1943,101,"NA"
1944,100,"NA"
1945,NA,"NA"
1946,97,"NA"
1947,107,"NA"
1948,102,"NA"
1949,107,"NA"
1950,99,"NA"
1951,98,"NA"
1952,105,"NA"
1953,100,94
1954,94,87
1955,96,86
1956,100,91
1957,101,96
1958,97,91
1959,91,81
1960,95,88
1961,95,89
1962,96,91
1963,98,93
1964,96,95
1965,106,98
1966,95,85
1967,95,90
1968,95,92
1969,102,96
1970,104,98
1971,96,90
1972,97,89
1973,97,90
1974,98,93
1975,99,93
1976,99,88
1977,92,87
1978,102,97
1979,98,89
1980,98,95
1981,97,88
1982,89,82
1983,98,91
1984,104,99
1985,97,91
1986,97,92
1987,95,85
1988,101,95
1989,91,82
1990,87,79
1991,95,88
1992,93,86
1993,95,86
1994,95,92
1995,95,89
1996,99,90
1997,93,84
1998,90,82
1999,91,83
2000,100,93
2001,92,82
2002,86,76
2003,93,86
2004,93,83
2005,97,91
2006,95,85
2007,92,83
2008,91,83
2009,94,77
2010,90,77
2011,96,86
2012,99,93
2013,88,80
2014,91,85
2015,90,85
2016,92,82
2017,96,89
2018,86,80
2019,95,85
2020,89,81
2021,84,74
